Analyzing nonna_app...                                          

warning • Unused import: 'package:flutter_riverpod/flutter_riverpod.dart' • lib/core/di/service_locator.dart:2:8 • unused_import
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:237:15 • non_type_as_type_argument
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:248:24 • non_type_as_type_argument
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:92:35 • argument_type_not_assignable
  error • The function 'StreamController' isn't defined • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:398:34 • undefined_function
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:406:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:438:25 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:68:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:70:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:74:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:92:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:110:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:112:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:130:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:132:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:136:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:159:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:165:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:167:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:171:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:187:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:189:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:193:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:214:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:220:63 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:222:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/home/presentation/providers/home_screen_provider_test.dart:226:41 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:312:21 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:313:23 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:314:19 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:328:21 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:329:23 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/profile/presentation/providers/profile_provider_test.dart:330:19 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:68:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:86:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:142:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:160:25 • argument_type_not_assignable
