Analyzing nonna_app...                                          

warning • Unused import: 'package:flutter_riverpod/flutter_riverpod.dart' • lib/core/di/service_locator.dart:2:8 • unused_import
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:237:15 • non_type_as_type_argument
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:248:24 • non_type_as_type_argument
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:92:35 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:160:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:179:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:198:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:217:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:234:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:258:11 • argument_type_not_assignable
  error • The named parameter 'databaseService' isn't defined • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:39:9 • undefined_named_parameter
  error • The named parameter 'cacheService' isn't defined • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:40:9 • undefined_named_parameter
  error • The argument type 'Future<FakePostgrestBuilder> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:56:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:75:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:128:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:142:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:158:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:182:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:195:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:206:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_highlights/providers/registry_highlights_provider_test.dart:227:11 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:83:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:104:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:174:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:197:25 • argument_type_not_assignable
  error • The argument type 'Future<FakePostgrestBuilder> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:220:25 • argument_type_not_assignable
  error • The returned type 'FakePostgrestInsertBuilder' isn't returnable from a 'Future<List<Map<String, dynamic>>>' function, as required by the closure's context • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:230:38 • return_of_invalid_type_from_closure
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:252:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:276:25 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Future<void>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:293:63 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/rsvp_tasks/providers/rsvp_tasks_provider_test.dart:308:25 • argument_type_not_assignable
  error • The named parameter 'databaseService' isn't defined • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:35:9 • undefined_named_parameter
  error • The named parameter 'cacheService' isn't defined • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:36:9 • undefined_named_parameter
  error • The argument type 'Future<FakePostgrestBuilder> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:52:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:59:22 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:70:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:76:24 • undefined_method
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:90:24 • undefined_method
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:106:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:118:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:122:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:133:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:137:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:147:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:151:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:162:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:228:24 • undefined_method
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:246:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:256:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:264:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:272:25 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:274:24 • undefined_method
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:284:58 • argument_type_not_assignable
  error • The method 'fetchStorageUsage' isn't defined for the type 'StorageUsageNotifier' • test/tiles/storage_usage/providers/storage_usage_provider_test.dart:288:24 • undefined_method
  error • The argument type 'Future<List<dynamic>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:73:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:101:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:170:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:192:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:218:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:230:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:249:25 • argument_type_not_assignable
  error • The argument type 'Future<List<dynamic>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:276:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:306:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:330:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:360:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/upcoming_events/providers/upcoming_events_provider_test.dart:389:25 • argument_type_not_assignable

